DATE,NBCV
04/05 11:51,15
04/05 12:41,65
04/05 13:01,38
04/05 14:21,18
04/12 10:15,120
04/10 19:41,100
04/10 23:44,72
04/11 10:50,166
04/11 19:53,6
04/11 21:06,55
04/11 21:14,14
04/11 23:13,6
04/11 23:18,88
04/11 23:24,22
04/11 23:28,64
04/11 23:33,119
04/16 12:43,7
04/27 00:13,80
04/27 00:26,34
04/27 14:42,72
04/27 16:58,46
04/27 18:50,103
04/30 01:59,174
04/30 18:08,26
05/04 02:37,15
05/04 02:48,73
05/04 14:04,89
05/04 14:24,56
05/04 14:37,34
05/04 14:46,76
05/04 14:48,49
05/04 14:59,50
05/04 15:02,97
05/04 17:26,146
05/05 22:13,110
05/05 22:18,10
05/08 01:55,80
05/11 08:38,4
05/11 08:41,8
05/11 08:44,12
05/11 08:52,4
05/11 08:55,4
05/11 20:06,4
05/11 20:10,4
05/11 20:17,8
05/11 23:32,4
05/12 00:44,4
05/12 00:57,4
05/12 01:24,4
05/12 01:35,4
05/12 01:39,10
05/12 01:39,12
05/12 01:40,16
05/12 01:43,4
05/12 01:46,4
05/17 21:51,4
05/29 13:49,4
05/30 13:55,8
06/02 08:17,15
06/02 08:23,30
06/02 08:28,45
06/02 08:48,15
06/02 08:56,15
06/02 09:00,30
06/02 09:04,21
06/02 09:16,15
06/02 09:21,30
06/11 15:13,7
06/11 15:30,31
06/11 16:34,25
06/11 17:09,25
06/11 18:00,111
06/11 18:47,48
06/11 19:03,66
06/11 19:23,21
06/16 08:17,3
06/16 08:22,3
06/16 20:55,3
06/16 21:01,6
06/16 21:05,10
06/16 21:08,4
06/17 08:58,4
06/17 09:30,18
06/17 13:19,9
06/18 19:01,12
06/18 19:28,12
06/18 19:35,24
06/18 19:56,12
06/18 20:23,12
06/19 21:41,32
06/19 22:19,57
06/19 22:51,78
06/19 23:20,23
06/19 23:24,31
06/19 23:31,59
06/20 00:17,59
06/20 10:29,13
06/20 10:37,24
06/22 22:45,14
